parent_group_w2,parent_group_w3,formal_english_name,formal_chinese_name,subscale_current_name,n_w2_items,w2_items,direct_w3_items,w2_columns_complete_in_ver6,w3_columns_complete_in_ver5,w2_question_texts_complete,w3_question_texts_complete,complete_w3_counterpart,missing_w3_columns_or_question_texts
v23,25,Social Media Use: Selective Sharing and Impression Management,社群媒體使用行為：選擇性分享與印象管理,v23_A,3,v23_1;v23_2;v23_3,25-1;25-2;25-3,True,True,True,True,True,
v23,25,Social Media Use: Selective Sharing and Impression Management,社群媒體使用行為：選擇性分享與印象管理,v23_B,3,v23_4;v23_5;v23_6,25-4;25-5;25-6,True,True,True,True,True,
v23,25,Social Media Use: Selective Sharing and Impression Management,社群媒體使用行為：選擇性分享與印象管理,v23_C,3,v23_7;v23_8;v23_9,25-7;25-8;25-9,True,True,True,True,True,
v25,26,Social Media Self-Presentation and Online Image Management,社群媒體自我呈現與網路形象管理,v25_A,3,v25_1;v25_2;v25_3,26-1;26-2;26-3,True,True,True,True,True,
v25,26,Social Media Self-Presentation and Online Image Management,社群媒體自我呈現與網路形象管理,v25_B,3,v25_4;v25_5;v25_6,26-4;26-5;26-6,True,True,True,True,True,
v25,26,Social Media Self-Presentation and Online Image Management,社群媒體自我呈現與網路形象管理,v25_C,9,v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15,26-7;26-8;26-9;26-10;26-11;26-12;26-13;26-14;26-15,True,True,True,True,True,
v26,27,Online Social Comparison and Perspective Seeking,線上社會比較與觀點搜尋,v26_A,3,v26_1;v26_2;v26_3,27-1;27-2;27-3,True,True,True,True,True,
v26,27,Online Social Comparison and Perspective Seeking,線上社會比較與觀點搜尋,v26_B,3,v26_4;v26_5;v26_6,27-4;27-5;27-6,True,True,True,True,True,
v27,28,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",網路同儕互動焦慮（錯失恐懼／FOMO）,v27_A,3,v27_1;v27_2;v27_3,28-1;28-2;28-3,True,True,True,True,True,
v27,28,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",網路同儕互動焦慮（錯失恐懼／FOMO）,v27_B,1,v27_4,28-4,True,True,True,True,True,
v54,53,Social and Emotional Learning (SEL) Competencies,社會與情緒學習能力（SEL：情緒覺察、調節、人際與目標管理）,v54_A,3,v54_1;v54_2;v54_3,53-1;53-2;53-3,True,True,True,True,True,
v54,53,Social and Emotional Learning (SEL) Competencies,社會與情緒學習能力（SEL：情緒覺察、調節、人際與目標管理）,v54_B,3,v54_4;v54_5;v54_6,53-4;53-5;53-6,True,True,True,True,True,
v54,53,Social and Emotional Learning (SEL) Competencies,社會與情緒學習能力（SEL：情緒覺察、調節、人際與目標管理）,v54_C,3,v54_7;v54_8;v54_9,53-7;53-8;53-9,True,True,True,True,True,
