dataset,variable_name,group_id,item,n_rows,n_missing,pct_missing,n_nonmissing
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_1,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_2,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_3,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_4,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_5,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_6,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_7,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_8,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_9,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_10,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_11,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_12,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_13,6603,0,0.0,6603
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55,v55_14,6603,0,0.0,6603
W3 2025,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),54,54-1,6603,0,0.0,6603
W3 2025,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),54,54-2,6603,0,0.0,6603
W3 2025,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),54,54-3,6603,0,0.0,6603
W3 2025,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),54,54-4,6603,0,0.0,6603
