dataset,variable_name,formal_category,group_id,n_rows,n_items_defined_existing,items_existing,missing_defined_columns,min_valid_required_50pct,n_all_items_valid,pct_all_items_valid,n_at_least_50pct_valid,pct_at_least_50pct_valid,n_below_50pct_but_some_valid,pct_below_50pct_but_some_valid,n_zero_valid_items,pct_zero_valid_items,n_any_missing_item,pct_any_missing_item,max_item_missing_n,max_item_missing_pct,missingness_flag
W2 2024,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),Mental_Health/Emotion (Negative),v55,6603,14,v55_1;v55_2;v55_3;v55_4;v55_5;v55_6;v55_7;v55_8;v55_9;v55_10;v55_11;v55_12;v55_13;v55_14,,7,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),Mental_Health/Emotion (Negative),54,6603,14,54-1;54-2;54-3;54-4;54-5;54-6;54-7;54-8;54-9;54-10;54-11;54-12;54-13;54-14,,7,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Positive Mental Well-being (WHO-5),Mental_Health/Emotion (Positive),v57,6603,5,v57_1;v57_2;v57_3;v57_4;v57_5,,3,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Positive Mental Well-being (WHO-5),Mental_Health/Emotion (Positive),55,6603,5,55-1;55-2;55-3;55-4;55-5,,3,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Self-Worth and Positive Self-Concept,Self_worth,v52,6603,3,v52_1;v52_2;v52_3,,2,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Self-Worth and Positive Self-Concept,Self_worth,52,6603,3,52-1;52-2;52-3,,2,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Overall Life Satisfaction,Fulfill_of_life,v50,6603,1,v50,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Overall Life Satisfaction,Fulfill_of_life,49,6603,1,49,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Recent Subjective Happiness,Happiness_of_life,v51,6603,1,v51,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Recent Subjective Happiness,Happiness_of_life,50,6603,1,50,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",Internet/Digital(Peer/Social),v27,6603,4,v27_1;v27_2;v27_3;v27_4,,2,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",Internet/Digital(Peer/Social),28,6603,4,28-1;28-2;28-3;28-4,,2,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Delinquent and Health-Risk Behaviors,Bad_habits,v42,6603,14,v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13;v42_14,,7,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Delinquent and Health-Risk Behaviors,Bad_habits,39,6603,14,39-1;39-2;39-3;39-4;39-5;39-6;39-7;39-8;39-9;39-10;39-11;39-12;39-13;39-14,,7,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),Family/Parenting(negative),v6,6603,10,v6_1;v6_2;v6_3;v6_4;v6_5;v6_6;v6_7;v6_8;v6_9;v6_10,,5,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),Family/Parenting(negative),5,6603,10,5-1;5-2;5-3;5-4;5-5;5-6;5-7;5-8;5-9;5-10,,5,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Family Cohesion and Support (Family Functioning),Family/Parenting,v5,6603,6,v5_1;v5_2;v5_3;v5_4;v5_5;v5_6,,3,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Family Cohesion and Support (Family Functioning),Family/Parenting,4,6603,6,4-1;4-2;4-3;4-4;4-5;4-6,,3,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Perceived Effectiveness of School-based Digital/Technology Learning,School (Internet/Digital_Learning),v49,6603,1,v49,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Perceived Effectiveness of School-based Digital/Technology Learning,School (Internet/Digital_Learning),48,6603,1,48,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Cyberbullying Victimization (including Misinformation-related),Bullying (Internet/Digital)(false-_information_Victim),v38,6603,1,v38,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Cyberbullying Victimization (including Misinformation-related),Bullying (Internet/Digital)(false-_information_Victim),34,6603,1,34,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Cyberbullying Perpetration (including Misinformation-related),Bullying (Internet/Digital)(false_information),v40,6603,1,v40,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Cyberbullying Perpetration (including Misinformation-related),Bullying (Internet/Digital)(false_information),36,6603,1,36,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Problematic Internet Use and Internet Dependence,Internet/Digital(Dependency),v28,6603,10,v28_1;v28_2;v28_3;v28_4;v28_5;v28_6;v28_7;v28_8;v28_9;v28_10,,5,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Problematic Internet Use and Internet Dependence,Internet/Digital(Dependency),29,6603,10,29-1;29-2;29-3;29-4;29-5;29-6;29-7;29-8;29-9;29-10,,5,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Social Media Self-Presentation and Online Image Management,Internet/Digital(Social_Media_dependency_usage),v25,6603,15,v25_1;v25_2;v25_3;v25_4;v25_5;v25_6;v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15,,8,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Social Media Self-Presentation and Online Image Management,Internet/Digital(Social_Media_dependency_usage),26,6603,15,26-1;26-2;26-3;26-4;26-5;26-6;26-7;26-8;26-9;26-10;26-11;26-12;26-13;26-14;26-15,,8,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Physical/Offline Bullying Victimization,Bullying(Physical_Victim),v34,6603,1,v34,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Physical/Offline Bullying Victimization,Bullying(Physical_Victim),30,6603,1,30,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Parental Involvement in Schooling and Academic Monitoring,Family/Parenting(School_participation_level),v19,6603,10,v19_1;v19_2;v19_3;v19_4;v19_5;v19_6;v19_7;v19_8;v19_9;v19_10,,5,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Parental Involvement in Schooling and Academic Monitoring,Family/Parenting(School_participation_level),11,6603,8,11-1;11-2;11-3;11-4;11-5;11-6;11-7;11-8,,4,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Gender (Demographic Variable),Gender,v1,6603,1,v1,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Gender (Demographic Variable),Gender,1,6603,1,1,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Perceived Social Status (Subjective Social Status),Social_Status_Awareness,v3,6603,1,v3,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Perceived Social Status (Subjective Social Status),Social_Status_Awareness,59,6603,1,59,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Social Media Use: Selective Sharing and Impression Management,Internet/Digital(Social_Media_usage),v23,6603,9,v23_1;v23_2;v23_3;v23_4;v23_5;v23_6;v23_7;v23_8;v23_9,,5,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Social Media Use: Selective Sharing and Impression Management,Internet/Digital(Social_Media_usage),25,6603,10,25-0;25-1;25-2;25-3;25-4;25-5;25-6;25-7;25-8;25-9,,5,6336,95.96,6336,95.96,267,4.04,0,0.0,267,4.04,267,4.04,HAS_ROWS_BELOW_50PCT
W2 2024,Physical/Offline Bullying Perpetration,Bullying(Physical_Responsible),v36,6603,1,v36,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Physical/Offline Bullying Perpetration,Bullying(Physical_Responsible),32,6603,1,32,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Self-Rated Health Status,Health,v52,6603,1,v52,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Self-Rated Health Status,Health,51,6603,1,51,,1,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W2 2024,Online Social Comparison and Perspective Seeking,Internet/Digital(Expression_of_opinion),v26,6603,6,v26_1;v26_2;v26_3;v26_4;v26_5;v26_6,,3,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
W3 2025,Online Social Comparison and Perspective Seeking,Internet/Digital(Expression_of_opinion),27,6603,6,27-1;27-2;27-3;27-4;27-5;27-6,,3,6603,100.0,6603,100.0,0,0.0,0,0.0,0,0.0,0,0.0,COMPLETE
