scenario,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_precision,test_recall,test_f1,test_auc
w2_predict_w3,42,5,3961,1321,1321,0.6525359576078729,0.6671388101983002,0.6776978417266187,0.6723768736616702,0.7136989449973568
w2_predict_w3,52,10,3961,1321,1321,0.6298258894776685,0.6484149855907781,0.6474820143884892,0.6479481641468683,0.6846967154710737
w2_predict_w3,62,8,3961,1321,1321,0.6623769871309614,0.6717241379310345,0.7007194244604317,0.6859154929577465,0.7121681568483234
w2_predict_w3,72,18,3961,1321,1321,0.6495079485238455,0.6715976331360947,0.6532374100719425,0.662290299051787,0.7067897120003678
w2_predict_w3,82,19,3961,1321,1321,0.631339894019682,0.6538461538461539,0.6359712230215827,0.6447848285922684,0.6800330981221413
w2_self,42,20,3961,1321,1321,0.7464042392127176,0.7722063037249284,0.7538461538461538,0.7629157820240623,0.816956311015717
w2_self,52,16,3961,1321,1321,0.7305071915215746,0.7667161961367014,0.7216783216783217,0.7435158501440923,0.8023887004085024
w2_self,62,19,3961,1321,1321,0.7320211960635882,0.7517433751743375,0.7538461538461538,0.7527932960893855,0.8132544023633133
w2_self,72,27,3961,1321,1321,0.757002271006813,0.7863372093023255,0.7566433566433567,0.7712045616535994,0.8241339518567241
w2_self,82,35,3961,1321,1321,0.72445117335352,0.7577092511013216,0.7216783216783217,0.7392550143266475,0.8061563848692561
w3_self,42,11,3961,1321,1321,0.6646479939439819,0.688622754491018,0.6618705035971223,0.6749816581071166,0.732992392028869
w3_self,52,9,3961,1321,1321,0.6828160484481454,0.7023460410557185,0.6892086330935252,0.6957153231663036,0.7454018893511388
w3_self,62,12,3961,1321,1321,0.6495079485238455,0.6690962099125365,0.660431654676259,0.664735698769008,0.7252465120555313
w3_self,72,12,3961,1321,1321,0.6729750189250567,0.6959761549925484,0.6719424460431654,0.6837481698389458,0.7339623508860642
w3_self,82,15,3961,1321,1321,0.6487509462528388,0.6752655538694993,0.6402877697841727,0.6573116691285081,0.7134001425058037
