Task,Model Family,Model,Accuracy Rank Within Task,Feature Set,Feature Set Detail,Metric Basis,N,N Features,AUC,Accuracy,F1,Precision,Recall,Test AUC,Test Accuracy,Test F1,Scenario,Source File
W2 -> W2,Logistic baseline,Original-group Logistic,1,original_groups_no_drop,Original/non-decomposed questionnaire groups,CV5 mean,6603,23,0.8229239746123514,0.7464748927580116,0.7690985626292267,0.7585175333171889,0.7801879126460133,0.8304599690738305,0.753217259651779,0.7745504840940526,w2_self,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W2,GNN,GraphSAGE,2,drop_plus_decomposition_plus_graph_edges,Drop + decomposition node features with W2 peer nomination graph edges,5-seed heldout test mean,6603,30,0.8125779501027026,0.7380772142316426,0.7539369008475573,0.766942467087923,0.7415384615384615,0.8125779501027026,0.7380772142316426,0.7539369008475573,w2_self,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\04_graphsage_gnn\outputs\graphsage_gnn_performance.xlsx
W2 -> W2,Regularized logistic,Ridge Logistic,3,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,30,0.8107380738521348,0.734967425962884,0.7567322838522765,0.7521797362839285,0.7614556393327343,0.8168224514759168,0.7373202119606359,0.7611837577426015,w2_predict_w2,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W2,Regularized logistic,LASSO Logistic,4,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,30,0.8106423133969024,0.7340574174752827,0.7553490746860423,0.752439761767649,0.7583787162558112,0.8170070853239171,0.7418622255866768,0.7643400138217,w2_predict_w2,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W2,Logistic baseline,Decomposed Logistic,5,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,30,0.811,0.734,0.755,0.752,0.758,0.816,0.74,0.762,w2_predict_w2,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\02_logistic_decomposed_groups\outputs\logistic_decomposed_groups_performance.xlsx
W2 -> W2,Logistic baseline,Original-group Logistic,6,original_groups_drop_groups,Original/non-decomposed questionnaire groups,CV5 mean,6603,19,0.7903116268695702,0.7167937512903448,0.7405651760492677,0.7344224411911611,0.746914091495097,0.7976597659765977,0.7221801665404997,0.743893928820656,w2_self,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W3,Logistic baseline,Original-group Logistic,1,original_groups_no_drop,Original/non-decomposed questionnaire groups,CV5 mean,6603,23,0.7141289146474757,0.657581492441447,0.6805264313647608,0.6684021387346073,0.693147430182655,0.7288781115682533,0.6744890234670704,0.6950354609929078,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W3,Regularized logistic,LASSO Logistic,2,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,30,0.7071292704983907,0.6501624113963251,0.6696133289017522,0.6654255427530236,0.673867683950822,0.7174086928540235,0.6525359576078729,0.6719085060757684,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W3,Logistic baseline,Decomposed Logistic,3,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,30,0.707,0.65,0.669,0.666,0.673,0.717,0.656,0.676,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\02_logistic_decomposed_groups\outputs\logistic_decomposed_groups_performance.xlsx
W2 -> W3,Regularized logistic,Ridge Logistic,4,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,30,0.7073519039995486,0.6489509783680867,0.6684607619169196,0.664276158654306,0.672717019467999,0.7176638242121958,0.6563209689629069,0.6757142857142857,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W3,GNN,GraphSAGE,5,drop_plus_decomposition_plus_graph_edges,Drop + decomposition node features with W2 peer nomination graph edges,5-seed heldout test mean,6603,30,0.6994773254878526,0.645117335352006,0.6626631316820681,0.6625443441404723,0.663021582733813,0.6994773254878526,0.645117335352006,0.6626631316820681,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\04_graphsage_gnn\outputs\graphsage_gnn_performance.xlsx
W2 -> W3,Logistic baseline,Original-group Logistic,6,original_groups_drop_groups,Original/non-decomposed questionnaire groups,CV5 mean,6603,19,0.6975036254088497,0.6425903241346088,0.6663594765005694,0.654750782622697,0.678474073766923,0.7110993633208449,0.6570779712339136,0.6780383795309168,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
