Feature Section,Feature Code,Original / Source Group,Original W2 Category,Chinese Name,English Name,Feature Family,Source Type,Items / Construction,Scoring / Coding,Used in Main Models,Used in Table 1,Used as Moderator,Notes
Outcome / moderator variable,54,54,Outcome,心理困擾症狀（憂鬱／焦慮／自傷意念）,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),Other,outcome_or_moderator,54-1;54-2;54-3;54-4;54-5;54-6;54-7;54-8;54-9;54-10;54-11;54-12;54-13;54-14,Median split / binary high psychological distress outcome for W3.,"Yes, W2 -> W3 outcome","Yes, W3 group-defining outcome",No,
Outcome / moderator variable,v55,v55,Outcome,心理困擾症狀（憂鬱／焦慮／自傷意念）,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),Other,outcome_or_moderator,v55_1;v55_2;v55_3;v55_4;v55_5;v55_6;v55_7;v55_8;v55_9;v55_10;v55_11;v55_12;v55_13;v55_14,Median split / binary high psychological distress outcome for W2.,"Yes, W2 -> W2 outcome","Yes, W2 group-defining outcome",No,
Outcome / moderator variable,v21_3-v21_6,v21_3-v21_6,Internet/Digital(Online_Activity),線上活動頻率,Online Activity Frequency,Other,outcome_or_moderator,v21_3;v21_4;v21_5;v21_6,"Summed W2 frequency score, split at the W2 median for interaction analysis.","No, moderator only","Yes, descriptive grouping variable in online-activity Table 1 if needed","Yes, Online Activity Frequency",
Active W2 model predictor,v1_male,v1,Gender,性別（人口統計變項）,Gender: Male (vs Female),Demographic / Social Status,categorical_dummy,v1,dummy_2_vs_1,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v3,v3,Social_Status_Awareness,主觀社會地位知覺（社會階層認知）,Perceived Social Status (Subjective Social Status),Demographic / Social Status,scale_or_single_item,v3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v5,v5,Family/Parenting,家庭凝聚力與家庭支持（家庭功能）,Family Cohesion and Support (Family Functioning),Family / Parenting,scale_or_single_item,v5_1;v5_2;v5_3;v5_4;v5_5;v5_6,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v6,v6,Family/Parenting(negative),親職教養方式與親子互動品質（支持／衝突／監督）,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),Family / Parenting,scale_or_single_item,v6_1;v6_2;v6_3;v6_4;v6_5;v6_6;v6_7;v6_8;v6_9;v6_10,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v9,v9,School/Belonging,學校歸屬感與學校認同,School Belonging and School Identification,School Context / Belonging,scale_or_single_item,v9_1;v9_2;v9_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v12,v12,School/Peer Relations,班級同儕支持與信任,Classmate Support and Trust,School Context / Belonging,scale_or_single_item,v12_1;v12_2;v12_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v19,v19,Family/Parenting(School_participation_level),家長學校參與與學習關注程度,Parental Involvement in Schooling and Academic Monitoring,Family / Parenting,scale_or_single_item,v19_1;v19_2;v19_3;v19_4;v19_5;v19_6;v19_7;v19_8;v19_9;v19_10,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
