Task,Model Family,Model,Accuracy Rank Within Task,Feature Set,Feature Set Detail,Metric Basis,N,N Features,AUC,Accuracy,F1,Precision,Recall,Test AUC,Test Accuracy,Test F1,Scenario,Source File
W2 -> W2,Logistic baseline,Original-group Logistic (no drop),1,original_groups_no_drop,Original/non-decomposed questionnaire groups before planned feature dropping,CV5 mean,6603,23,0.8229239746123514,0.7464748927580116,0.7690985626292267,0.7585175333171889,0.7801879126460133,0.8304599690738305,0.753217259651779,0.7745504840940526,w2_self,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W2,Logistic baseline,Decomposed Logistic,2,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,33,0.819,0.741,0.761,0.762,0.759,0.831,0.745,0.766,w2_predict_w2,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\02_logistic_decomposed_groups\outputs\logistic_decomposed_groups_performance.xlsx
W2 -> W2,Regularized logistic,LASSO Logistic,3,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,33,0.8196197852234338,0.7404201362604088,0.7603958222391946,0.7597800250668976,0.7611743563698872,0.8319670428581319,0.7426192278576835,0.7629009762900977,w2_predict_w2,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W2,Regularized logistic,Ridge Logistic,4,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,33,0.8196304550378182,0.7402682770169523,0.7606541839905891,0.7588996885343929,0.7625733484392703,0.8320247409356321,0.74110522331567,0.7618384401114207,w2_predict_w2,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W2,GNN,GraphSAGE,5,drop_plus_decomposition_plus_graph_edges,Drop + decomposition node features with W2 peer nomination graph edges,5-seed heldout test mean,6603,33,0.8187371044796787,0.7392884178652537,0.7561565937029477,0.7661410018969599,0.7468531468531469,0.8187371044796787,0.7392884178652537,0.7561565937029477,w2_self,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\04_graphsage_gnn\outputs\graphsage_gnn_performance.xlsx
W2 -> W2,Logistic baseline,Original-group Logistic (drop selected groups),6,original_groups_drop_groups,Original/non-decomposed questionnaire groups after planned feature dropping,CV5 mean,6603,19,0.7903116268695702,0.7167937512903448,0.7405651760492677,0.7344224411911611,0.746914091495097,0.7976597659765977,0.7221801665404997,0.743893928820656,w2_self,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W3,Logistic baseline,Original-group Logistic (no drop),1,original_groups_no_drop,Original/non-decomposed questionnaire groups before planned feature dropping,CV5 mean,6603,23,0.7141289146474757,0.657581492441447,0.6805264313647608,0.6684021387346073,0.693147430182655,0.7288781115682533,0.6744890234670704,0.6950354609929078,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W3,Regularized logistic,LASSO Logistic,2,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,33,0.7099569243042742,0.6513746473057601,0.6708998877631803,0.6663409082623397,0.675599693156138,0.7179350449352977,0.6548069644208933,0.6742857142857143,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W3,Regularized logistic,Ridge Logistic,3,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,33,0.7100636559204856,0.6507684720023856,0.6710782008674138,0.665022039177015,0.6773258972073062,0.7178522996299446,0.6548069644208933,0.6756756756756757,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\03_ridge_lasso_regularized\outputs\ridge_lasso_regularized_performance.xlsx
W2 -> W3,Logistic baseline,Decomposed Logistic,4,drop_plus_decomposition,Drop + decomposition features,CV5 mean,6603,33,0.71,0.649,0.668,0.664,0.672,0.717,0.656,0.675,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\02_logistic_decomposed_groups\outputs\logistic_decomposed_groups_performance.xlsx
W2 -> W3,Logistic baseline,Original-group Logistic (drop selected groups),5,original_groups_drop_groups,Original/non-decomposed questionnaire groups after planned feature dropping,CV5 mean,6603,19,0.6975036254088497,0.6425903241346088,0.6663594765005694,0.654750782622697,0.678474073766923,0.7110993633208449,0.6570779712339136,0.6780383795309168,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\01_logistic_original_groups\outputs\logistic_original_groups_performance.xlsx
W2 -> W3,GNN,GraphSAGE,6,drop_plus_decomposition_plus_graph_edges,Drop + decomposition node features with W2 peer nomination graph edges,5-seed heldout test mean,6603,33,0.6973820304778542,0.6386071158213474,0.6549175423227628,0.6580855247737147,0.6517985611510791,0.6973820304778542,0.6386071158213474,0.6549175423227628,w2_predict_w3,C:\Users\user\Desktop\TIGPS_Plan_data\20251229_new_progress\Code\paper_data_newdata\main_paper_results\01_model_performance\04_graphsage_gnn\outputs\graphsage_gnn_performance.xlsx
