wave,risk_col,protector_col,n_model,interaction_beta,interaction_p,r2,model_error
w2,high_activity,family_mean,6546,-0.09085325072955942,0.0010850939704157205,0.08914204270973058,
w2,high_activity,self_worth_mean,6546,-0.09734698939676158,1.8955955860635006e-06,0.2604404254138115,
w2,high_nomination_out_main,family_mean,6603,-0.06106159514955464,0.02705655560701812,0.08512276849950717,
w2,high_nomination_out_main,self_worth_mean,6603,-0.04126570128534097,0.042060212234089046,0.25694140765051166,
w2,high_nomination_in_main,family_mean,6603,0.016347311313307463,0.558378176467615,0.08187124027620885,
w2,high_nomination_in_main,self_worth_mean,6603,0.025683665846724275,0.21084711612175236,0.2542047954781733,
w2,high_nomination_total_main,family_mean,6603,-0.014438230738225487,0.6056530854942532,0.0812476186611385,
w2,high_nomination_total_main,self_worth_mean,6603,0.004603552308280469,0.8225909180695044,0.25405148091019125,
w3,high_activity,family_mean,6603,-0.018397233429174573,0.6467870323952698,0.03855173879677665,
w3,high_activity,self_worth_mean,6603,0.019966101097618403,0.3302623859601509,0.0017636134602955211,
w3,high_nomination_out_main,family_mean,6603,-0.07899882102509782,0.04908219826774466,0.03802263953179463,
w3,high_nomination_out_main,self_worth_mean,6603,-0.024104842378320022,0.24072893697600872,0.00048257162381482033,
w3,high_nomination_in_main,family_mean,6591,-0.030335403834349572,0.4496996587995864,0.03661643556038641,
w3,high_nomination_in_main,self_worth_mean,6591,-0.016904319865822116,0.4100747378415226,0.0004908427651779679,
w3,high_nomination_total_main,family_mean,6591,-0.025639676248239367,0.5234879219240021,0.0364083460830823,
w3,high_nomination_total_main,self_worth_mean,6591,-0.02319435931652997,0.25886798293686647,0.00035699529585342393,
