analysis_id,stage,wave,group_def,n_low,n_high,mean_low,mean_high,sd_low,sd_high,mean_diff_high_minus_low,t_stat_welch,p_value_welch,cohen_d,risk_col,protector_col,protector_threshold
w2_high_activity_family,stage3_within,w2,"within high_activity=1, family_mean > subgroup_median",1621,1414,1.7608619018242706,1.4708021822590422,0.8849469096690165,0.685676506376689,-0.29005971956522836,10.156523287411256,7.517049255872891e-24,0.3633356307107764,high_activity,family_mean,3.0
w2_high_activity_self_worth,stage3_within,w2,"within high_activity=1, self_worth_mean > subgroup_median",1954,1081,1.815031437344641,1.2835337650323775,0.8794473604218181,0.517676909885276,-0.5314976723122635,20.948392572421266,4.2853905133276724e-91,0.689936993897604,high_activity,self_worth_mean,3.0
w2_high_nomination_out_main_family,stage3_within,w2,"within high_nomination_out_main=1, family_mean > subgroup_median",1692,1332,1.714243498817967,1.4218146718146718,0.8521279746232615,0.6523898213770107,-0.2924288270032951,10.687406787731629,3.406035931694659e-26,0.379500455208061,high_nomination_out_main,family_mean,3.1666666666666665
w2_high_nomination_out_main_self_worth,stage3_within,w2,"within high_nomination_out_main=1, self_worth_mean > subgroup_median",1850,1174,1.7779922779922779,1.2820029204185932,0.8660594612722656,0.5011071761914215,-0.4959893575736847,19.930206021453934,4.2444684388848646e-83,0.6649406360954634,high_nomination_out_main,self_worth_mean,3.0
w2_high_nomination_in_main_family,stage3_within,w2,"within high_nomination_in_main=1, family_mean > subgroup_median",2120,1619,1.6351752021563342,1.3713491573281567,0.81711681040101,0.6223046317212565,-0.2638260448281775,11.207455676670461,1.0698768424270458e-28,0.3569559270197388,high_nomination_in_main,family_mean,3.1666666666666665
w2_high_nomination_in_main_self_worth,stage3_within,w2,"within high_nomination_in_main=1, self_worth_mean > subgroup_median",2264,1475,1.6931158505805146,1.2566585956416465,0.8282841090072125,0.5094907287000311,-0.4364572549388681,19.94193666780032,3.7403443899296374e-84,0.606519019682363,high_nomination_in_main,self_worth_mean,3.0
w2_high_nomination_total_main_family,stage3_within,w2,"within high_nomination_total_main=1, family_mean > subgroup_median",2112,1607,1.6518195346320346,1.377589119032803,0.8261520812176019,0.6321890680359301,-0.27423041559923167,11.467476605927526,6.0921960633875686e-30,0.3663542801614085,high_nomination_total_main,family_mean,3.1666666666666665
w2_high_nomination_total_main_self_worth,stage3_within,w2,"within high_nomination_total_main=1, self_worth_mean > subgroup_median",2254,1465,1.7101026746102168,1.2613359336908823,0.842253144106188,0.505591268716138,-0.44876674091933455,20.289547015100805,7.276924551872172e-87,0.6160412218968936,high_nomination_total_main,self_worth_mean,3.0
w3_high_activity_family,stage3_within,w3,"within high_activity=1, family_mean > subgroup_median",1585,1401,1.9615141955835962,1.6921586621800753,0.8482733588497595,0.7124352459741802,-0.2693555334035209,9.42775366125016,8.1491189439364e-21,0.3420536945481063,high_activity,family_mean,2.1666666666666665
w3_high_activity_self_worth,stage3_within,w3,"within high_activity=1, self_worth_mean > subgroup_median",1646,1340,1.8955476479777815,1.7609275053304905,0.8051828820129112,0.7846870632582797,-0.13462014264729105,4.608283407561959,4.23600748065538e-06,0.16910991838599382,high_activity,self_worth_mean,2.0
w3_high_nomination_out_main_family,stage3_within,w3,"within high_nomination_out_main=1, family_mean > subgroup_median",1608,1521,1.941275764036958,1.6753545599699446,0.7997639359383342,0.6659923430215872,-0.26592120406701336,10.127927317339465,9.741153899542112e-24,0.36043680137166245,high_nomination_out_main,family_mean,2.1666666666666665
w3_high_nomination_out_main_self_worth,stage3_within,w3,"within high_nomination_out_main=1, self_worth_mean > subgroup_median",1569,1560,1.8103432577619956,1.8136904761904764,0.710390390189947,0.7871763419991971,0.003347218428480847,-0.12484318821989177,0.9006558139356505,-0.004465002084431127,high_nomination_out_main,self_worth_mean,1.6666666666666667
w3_high_nomination_in_main_family,stage3_within,w3,"within high_nomination_in_main=1, family_mean > subgroup_median",1841,1681,1.9408318460464034,1.6706892156029576,0.8222885046333686,0.6844841305260905,-0.2701426304434458,10.628685872000993,5.448510607260046e-26,0.35561785934849854,high_nomination_in_main,family_mean,2.1666666666666665
w3_high_nomination_in_main_self_worth,stage3_within,w3,"within high_nomination_in_main=1, self_worth_mean > subgroup_median",1773,1749,1.8135122069132223,1.8102589234664708,0.7362345885500371,0.8057500730665036,-0.003253283446751576,0.125041006737912,0.9004983032747789,0.0042166177375111795,high_nomination_in_main,self_worth_mean,1.6666666666666667
w3_high_nomination_total_main_family,stage3_within,w3,"within high_nomination_total_main=1, family_mean > subgroup_median",1861,1733,1.9322560835188456,1.667669606792515,0.817824270067883,0.674936610033744,-0.2645864767263306,10.606751013107939,6.754737795582843e-26,0.35169313189980006,high_nomination_total_main,family_mean,2.1666666666666665
w3_high_nomination_total_main_self_worth,stage3_within,w3,"within high_nomination_total_main=1, self_worth_mean > subgroup_median",1811,1783,1.804212353080382,1.8051438186042785,0.7275592689418424,0.7990384831961662,0.0009314655238965575,-0.03652451527890089,0.970866185037256,-0.001219424292835538,high_nomination_total_main,self_worth_mean,1.6666666666666667
