order,variable,w2_columns,w3_columns,variable_type,table1_presentation,notes
1,Group size / analytic N,__group_n__,__group_n__,group_count,n,First row of Table 1; High/Low/Total sample size.
2,Gender,v1,1,categorical,n (%),Direct categorical presentation by response category.
3,Parental Marital Status / Family Structure,v2,3,categorical,n (%),Direct categorical presentation by response category; may have many categories.
4,Perceived Social Status (Subjective Social Status),v3,59,single_item_ordinal,mean (SD),Single 1-10 ordinal ladder; keep as continuous/ordinal summary.
5,Overall Life Satisfaction,v50,49,single_item_ordinal,mean (SD),Single ordinal item; summarize as mean (SD).
6,Recent Subjective Happiness,v51,50,single_item_ordinal,mean (SD),Single ordinal item; summarize as mean (SD).
7,Perceived Effectiveness of School-based Digital/Technology Learning,v49,48,single_item_ordinal,mean (SD),Single ordinal item; summarize as mean (SD).
8,Cyberbullying Victimization (including Misinformation-related),v38,34,binary,yes n (%),Binary 0/1 indicator; present percent coded 1.
9,Cyberbullying Perpetration (including Misinformation-related),v40,36,binary,yes n (%),Binary 0/1 indicator; present percent coded 1.
10,Physical/Offline Bullying Victimization,v34,30,binary,yes n (%),Binary 0/1 indicator; present percent coded 1.
11,Physical/Offline Bullying Perpetration,v36,32,binary,yes n (%),Binary 0/1 indicator; present percent coded 1.
12,Psychological Distress Symptoms (Depression/Anxiety/Self-harm Ideation),v55_1;v55_2;v55_3;v55_4;v55_5;v55_6;v55_7;v55_8;v55_9;v55_10;v55_11;v55_12;v55_13;v55_14,54-1;54-2;54-3;54-4;54-5;54-6;54-7;54-8;54-9;54-10;54-11;54-12;54-13;54-14,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
13,Positive Mental Well-being (WHO-5),v57_1;v57_2;v57_3;v57_4;v57_5,55-1;55-2;55-3;55-4;55-5,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
14,Self-Worth and Positive Self-Concept,v52_1;v52_2;v52_3,52-1;52-2;52-3,multi_item_scale,mean (SD),Use matching three items only; do not include W2 exact column v52.
15,Online Peer Interaction Anxiety (FOMO),v27_1;v27_2;v27_3;v27_4,28-1;28-2;28-3;28-4,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
16,Delinquent and Health-Risk Behaviors,v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13;v42_14,39-1;39-2;39-3;39-4;39-5;39-6;39-7;39-8;39-9;39-10;39-11;39-12;39-13;39-14,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
17,Parenting Practices and Parent-Child Interaction Quality,v6_1;v6_2;v6_3;v6_4;v6_5;v6_6;v6_7;v6_8;v6_9;v6_10,5-1;5-2;5-3;5-4;5-5;5-6;5-7;5-8;5-9;5-10,multi_item_scale,mean (SD),"Compute scale score as mean of available items after reverse coding W2 v6_1, v6_5, v6_6, v6_8, v6_9 and W3 5-1, 5-5, 5-6, 5-8, 5-9. Higher score indicates more favorable parenting / parent-child interaction quality."
18,Family Cohesion and Support (Family Functioning),v5_1;v5_2;v5_3;v5_4;v5_5;v5_6,4-1;4-2;4-3;4-4;4-5;4-6,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
19,Problematic Internet Use and Internet Dependence,v28_1;v28_2;v28_3;v28_4;v28_5;v28_6;v28_7;v28_8;v28_9;v28_10,29-1;29-2;29-3;29-4;29-5;29-6;29-7;29-8;29-9;29-10,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
20,Social Media Self-Presentation and Online Image Management,v25_1;v25_2;v25_3;v25_4;v25_5;v25_6;v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15,26-1;26-2;26-3;26-4;26-5;26-6;26-7;26-8;26-9;26-10;26-11;26-12;26-13;26-14;26-15,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
21,Parental Involvement in Schooling and Academic Monitoring,v19_1;v19_2;v19_3;v19_4;v19_5;v19_6;v19_7;v19_8;v19_9;v19_10,11-1;11-2;11-3;11-4;11-5;11-6;11-7;11-8,multi_item_scale,mean (SD),"W2 has 10 items, W3 has 8 items; summarize wave-specific scale scores."
22,Social Media Use: Selective Sharing and Impression Management,v23_1;v23_2;v23_3;v23_4;v23_5;v23_6;v23_7;v23_8;v23_9,25-0;25-1;25-2;25-3;25-4;25-5;25-6;25-7;25-8;25-9,multi_item_scale,mean (SD),"W2 has 9 items, W3 has 10 items; summarize wave-specific scale scores."
23,Online Social Comparison and Perspective Seeking,v26_1;v26_2;v26_3;v26_4;v26_5;v26_6,27-1;27-2;27-3;27-4;27-5;27-6,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
24,Social and Emotional Learning (SEL) Competencies,v54_1;v54_2;v54_3;v54_4;v54_5;v54_6;v54_7;v54_8;v54_9;v54_10;v54_11;v54_12;v54_13;v54_14;v54_15;v54_16;v54_17;v54_18;v54_19;v54_20,53-1;53-2;53-3;53-4;53-5;53-6;53-7;53-8;53-9;53-10;53-11;53-12;53-13;53-14;53-15;53-16;53-17;53-18;53-19;53-20,multi_item_scale,mean (SD),"Compute scale score from available items, then summarize mean (SD)."
25,Online Coping and Support Seeking under Distress,v22_1;v22_2;v22_3;v22_4;v22_5;v22_6,24-1;24-2;24-3;24-4;24-5;24-6;24-7,multi_item_scale,mean (SD),"W2 has 6 items, W3 has 7 items; summarize wave-specific scale scores."
26,Self-Rated Health Status,v52,51,single_item_ordinal,mean (SD),Confirmed W2 v52 exists in W2 ver6 and W3 51 exists in W3 ver5; summarize as mean (SD).
