wave,feature_code,feature_name,model_column,source_type,items,reference_category,n_non_missing,n_unique_non_missing
W3,online_activity_sum,Online Activity Sum,online_activity_sum,online_activity_sum_complete_4_items,21-3;21-4;21-5;21-6,,6603,43
W3,gender,Gender: Male vs Female,gender_Male,categorical_dummy,1,Female,6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Biological father deceased vs Married, living together",family_structure_Biological_father_deceased,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Biological mother deceased vs Married, living together",family_structure_Biological_mother_deceased,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Divorced, living separately vs Married, living together",family_structure_Divorced_living_separately,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Divorced, living together vs Married, living together",family_structure_Divorced_living_together,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Married, separated vs Married, living together",family_structure_Married_separated,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Married, separated due to work vs Married, living together",family_structure_Married_separated_due_to_work,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Other vs Married, living together",family_structure_Other,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Unmarried, living separately vs Married, living together",family_structure_Unmarried_living_separately,categorical_dummy,3,"Married, living together",6603,2
W3,family_structure,"Parental Marital Status / Family Structure: Unmarried, living together vs Married, living together",family_structure_Unmarried_living_together,categorical_dummy,3,"Married, living together",6603,2
W3,59,Perceived Social Status (Subjective Social Status),59,single_item_ordinal,59,,6603,10
W3,49,Overall Life Satisfaction,49,single_item_ordinal,49,,6603,4
W3,50,Recent Subjective Happiness,50,single_item_ordinal,50,,6603,4
W3,48,Perceived Effectiveness of School-based Digital/Technology Learning,48,single_item_ordinal,48,,6603,4
W3,34,Cyberbullying Victimization (including Misinformation-related),34,binary,34,,6603,2
W3,36,Cyberbullying Perpetration (including Misinformation-related),36,binary,36,,6603,2
W3,30,Physical/Offline Bullying Victimization,30,binary,30,,6603,2
W3,32,Physical/Offline Bullying Perpetration,32,binary,32,,6603,2
W3,scale_19_55,Positive Mental Well-being (WHO-5),scale_19_55,multi_item_scale,55-1;55-2;55-3;55-4;55-5,,6603,21
W3,scale_20_52,Self-Worth and Positive Self-Concept,scale_20_52,multi_item_scale,52-1;52-2;52-3,,6603,10
W3,scale_21_39,Delinquent and Health-Risk Behaviors,scale_21_39,multi_item_scale,39-1;39-2;39-3;39-4;39-5;39-6;39-7;39-8;39-9;39-10;39-11;39-12;39-13;39-14,,6603,13
W3,scale_22_5,Parenting Practices and Parent-Child Interaction Quality,scale_22_5,multi_item_scale,5-1;5-2;5-3;5-4;5-5;5-6;5-7;5-8;5-9;5-10,,6603,29
W3,scale_23_4,Family Cohesion and Support (Family Functioning),scale_23_4,multi_item_scale,4-1;4-2;4-3;4-4;4-5;4-6,,6603,13
