Feature Code,Variable,Source Type,Items,Multivariable Logistic Std. B,LASSO Logistic Std. B,Ridge Logistic Std. B,Selected by LASSO
online_activity_sum,Online Activity Sum,online_activity_sum_complete_4_items,v21_3;v21_4;v21_5;v21_6,0.0137,0.0000,0.0102,False
gender_Male,Gender: Male vs Female,categorical_dummy,v1,0.2886,0.2642,0.2784,True
family_structure_Biological_father_deceased,"Parental Marital Status / Family Structure: Biological father deceased vs Married, living together",categorical_dummy,v2,-0.0702,-0.0424,-0.0655,True
family_structure_Biological_mother_deceased,"Parental Marital Status / Family Structure: Biological mother deceased vs Married, living together",categorical_dummy,v2,-0.0035,0.0000,-0.0033,False
family_structure_Both_biological_parents_deceased,"Parental Marital Status / Family Structure: Both biological parents deceased vs Married, living together",categorical_dummy,v2,0.0228,0.0000,0.0200,False
family_structure_Divorced_living_separately,"Parental Marital Status / Family Structure: Divorced, living separately vs Married, living together",categorical_dummy,v2,0.0470,0.0114,0.0428,True
family_structure_Divorced_living_together,"Parental Marital Status / Family Structure: Divorced, living together vs Married, living together",categorical_dummy,v2,-0.0123,0.0000,-0.0109,False
family_structure_Married_separated,"Parental Marital Status / Family Structure: Married, separated vs Married, living together",categorical_dummy,v2,0.0194,0.0000,0.0171,False
family_structure_Married_separated_due_to_work,"Parental Marital Status / Family Structure: Married, separated due to work vs Married, living together",categorical_dummy,v2,0.0298,0.0005,0.0268,True
family_structure_Other,"Parental Marital Status / Family Structure: Other vs Married, living together",categorical_dummy,v2,-0.0183,0.0000,-0.0171,False
family_structure_Unmarried_living_separately,"Parental Marital Status / Family Structure: Unmarried, living separately vs Married, living together",categorical_dummy,v2,-0.0373,-0.0093,-0.0347,True
family_structure_Unmarried_living_together,"Parental Marital Status / Family Structure: Unmarried, living together vs Married, living together",categorical_dummy,v2,0.0318,0.0000,0.0295,False
v3,Perceived Social Status (Subjective Social Status),single_item_ordinal,v3,0.0390,0.0019,0.0350,True
v50,Overall Life Satisfaction,single_item_ordinal,v50,-0.0641,-0.0600,-0.0872,True
v51,Recent Subjective Happiness,single_item_ordinal,v51,-0.4223,-0.4028,-0.3950,True
v49,Perceived Effectiveness of School-based Digital/Technology Learning,single_item_ordinal,v49,-0.0333,-0.0198,-0.0341,True
v38,Cyberbullying Victimization (including Misinformation-related),binary,v38,0.1479,0.1267,0.1381,True
v40,Cyberbullying Perpetration (including Misinformation-related),binary,v40,0.0542,0.0382,0.0559,True
v34,Physical/Offline Bullying Victimization,binary,v34,0.0791,0.0683,0.0809,True
v36,Physical/Offline Bullying Perpetration,binary,v36,0.1184,0.1054,0.1120,True
scale_20_v57,Positive Mental Well-being (WHO-5),multi_item_scale,v57_1;v57_2;v57_3;v57_4;v57_5,-0.3795,-0.3508,-0.3614,True
scale_21_v52,Self-Worth and Positive Self-Concept,multi_item_scale,v52_1;v52_2;v52_3,-0.3967,-0.3582,-0.3707,True
scale_22_v42,Delinquent and Health-Risk Behaviors,multi_item_scale,v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13;v42_14,0.0333,0.0089,0.0311,True
