column,min,max,median,avg,p22,p75
student_id,,,,,,
1,1.0,2.0,1.0,1.494,1.0,2.0
2,0.0,1.0,0.5,0.731,0.5,1.0
3,,,,,,
Unnamed: 4,,,,,,
4-1,0.0,1.0,0.333,0.6,0.333,1.0
4-2,0.0,1.0,0.333,0.591,0.333,1.0
4-3,0.0,1.0,0.333,0.535,0.333,1.0
4-4,0.0,1.0,0.333,0.596,0.333,1.0
4-5,0.0,1.0,0.333,0.541,0.333,1.0
4-6,0.0,1.0,0.333,0.583,0.333,1.0
5-1,0.0,1.0,0.333,0.451,0.333,0.667
5-2,0.0,1.0,0.667,0.682,0.333,1.0
5-3,0.0,1.0,0.667,0.736,0.667,1.0
5-4,0.0,1.0,0.667,0.71,0.333,1.0
5-5,0.0,1.0,0.0,0.164,0.0,0.333
5-6,0.0,1.0,0.333,0.306,0.0,0.333
5-7,0.0,1.0,0.667,0.681,0.333,1.0
5-8,0.0,1.0,0.333,0.338,0.0,0.667
5-9,0.0,1.0,0.0,0.188,0.0,0.333
5-10,0.0,1.0,0.667,0.654,0.333,1.0
6-1,0.0,1.0,0.333,0.536,0.333,1.0
6-2,0.0,1.0,0.333,0.552,0.333,1.0
6-3,0.0,1.0,0.333,0.495,0.333,1.0
7,0.0,10000000000000.0,15.0,1402140731.359,7.0,23.0
8-1_0,0.0,123458910111212.98,13.0,17214417827.283,4.0,22.0
8-1_1,0.0,1.1111111111111112e+16,13.0,1700602523242.206,5.0,23.0
8-1_2,0.0,5.4104515341531456e+17,14.0,90445655509401.22,6.0,23.0
8-1_3,0.0,7474725277.0,14.0,1671035.889,5.0,23.0
8-1_4,0.0,7752572577.0,13.0,3110632.4,5.0,23.0
8-2_0,0.0,1e+83,9.0,1.3939224979091164e+79,1.0,19.0
8-2_1,0.0,1e+118,11.0,2.068680182043856e+114,2.0,21.0
8-2_2,0.0,846666666666.0,11.0,237333753.269,1.0,21.0
8-2_3,0.0,1.2312313213213212e+18,10.0,347209146961386.56,0.0,21.0
8-2_4,0.0,5.1151515151515e+20,10.0,1.5370046620912045e+17,0.0,21.0
8-3_0,0.0,1e+78,13.0,1.3937282229965158e+74,4.0,22.0
8-3_1,0.0,57275278272.0,13.0,9181370.639,5.0,23.0
8-3_2,0.0,111111111111.0,14.0,18246404.4,6.0,23.0
8-3_3,0.0,111111111111111.02,14.0,20572333920.723,6.0,23.0
8-3_4,0.0,1.1111111111111112e+16,14.0,2413671411909.747,5.0,23.0
8-4_0,0.0,1e+81,10.0,1.3937282229965155e+77,1.0,20.0
8-4_1,0.0,1.1111111111111e+20,11.0,2.1842168507363e+16,3.0,21.0
8-4_2,0.0,111111111111.0,11.0,39222165.488,2.0,22.0
8-4_3,0.0,1.111111111111111e+17,11.0,51759069944198.66,0.0,21.0
8-4_4,0.0,1.1111111111111112e+16,10.0,3357962240997.168,0.0,22.0
9,0.0,1.0,0.5,0.601,0.25,0.75
10,0.0,1.0,1.0,0.661,0.0,1.0
10-1,0.0,1.0,1.0,0.842,1.0,1.0
10-1_1,0.0,1.0,1.0,0.734,0.0,1.0
10-1_2,0.0,1.0,1.0,0.61,0.0,1.0
10-1_3,0.0,1.0,0.0,0.277,0.0,1.0
10-1_4,0.0,1.0,0.0,0.213,0.0,0.0
10-1_5,0.0,1.0,0.0,0.011,0.0,0.0
10-1_6,0.0,1.0,0.0,0.235,0.0,0.0
10-1_7,0.0,1.0,0.0,0.014,0.0,0.0
其他,453453.0,453453.0,453453.0,453453.0,453453.0,453453.0
11-1,0.0,1.0,0.333,0.629,0.333,1.0
11-2,0.0,1.0,0.333,0.567,0.333,1.0
11-3,0.0,1.0,0.333,0.467,0.333,1.0
11-4,0.0,1.0,0.333,0.363,0.333,0.333
11-5,0.0,1.0,0.0,0.216,0.0,0.333
11-6,0.0,1.0,0.333,0.379,0.333,0.333
11-7,0.0,1.0,0.333,0.479,0.333,1.0
11-8,0.0,1.0,0.333,0.407,0.0,0.333
12-1,0.0,1.0,0.5,0.648,0.5,1.0
12-2,0.0,1.0,0.5,0.594,0.5,0.5
12-3,0.0,1.0,0.5,0.574,0.5,0.5
12-4,0.0,1.0,0.5,0.581,0.5,1.0
12-5,0.0,1.0,0.5,0.562,0.5,0.5
12-6,0.0,1.0,0.5,0.601,0.5,1.0
12-7,0.0,1.0,0.5,0.537,0.5,0.5
12-8,0.0,1.0,0.5,0.533,0.5,0.5
12-9,0.0,1.0,0.5,0.529,0.5,0.5
12-10,0.0,1.0,0.5,0.544,0.5,0.5
13,0.0,1.0,1.0,0.676,0.0,1.0
14,0.0,1.0,1.0,0.948,1.0,1.0
14-1,0.0,1.0,1.0,0.978,1.0,1.0
14-1_1,0.0,1.0,1.0,0.518,0.0,1.0
14-1_2,0.0,1.0,0.0,0.329,0.0,1.0
14-1_3,0.0,1.0,0.0,0.34,0.0,1.0
14-1_4,0.0,1.0,0.0,0.275,0.0,1.0
14-1_5,0.0,1.0,0.0,0.271,0.0,1.0
14-1_6,0.0,1.0,0.0,0.008,0.0,0.0
其他.1,1.0,1.0,1.0,1.0,1.0,1.0
15,0.0,1.0,0.667,0.52,0.0,0.667
16,0.0,1.0,0.667,0.634,0.667,0.667
17,0.0,1.0,0.667,0.699,0.667,0.833
其他.2,0.0,412475234750.0,445433.0,137491893394.333,195990.52,206237840091.5
18,0.0,1.0,0.667,0.65,0.667,0.833
其他.3,0.0,24723472547502.0,27172267.5,6180881723009.25,0.66,6180908895276.0
19-1,0.0,0.0,0.0,0.0,0.0,0.0
19-1_1,0.0,1.0,0.333,0.386,0.0,0.667
19-1_2,0.0,1.0,0.333,0.39,0.0,0.667
19-1_3,0.0,1.0,0.667,0.505,0.333,0.667
19-1_4,0.0,1.0,0.333,0.311,0.0,0.667
19-1_5,0.0,1.0,0.333,0.291,0.0,0.333
19-1_6,0.0,1.0,0.333,0.345,0.0,0.667
19-1_7,0.0,1.0,0.667,0.552,0.333,1.0
19-1_8,0.0,1.0,0.333,0.474,0.0,0.667
19-1_9,0.0,1.0,0.333,0.372,0.0,0.667
19-1_10,0.0,1.0,0.0,0.155,0.0,0.333
19-1_11,0.0,1.0,0.0,0.263,0.0,0.333
19-1_12,0.0,1.0,0.0,0.153,0.0,0.333
19-2,0.0,0.0,0.0,0.0,0.0,0.0
19-2_1,0.0,1.0,0.333,0.462,0.0,0.667
19-2_2,0.0,1.0,0.333,0.463,0.0,0.667
19-2_3,0.0,1.0,0.667,0.543,0.333,0.667
19-2_4,0.0,1.0,0.333,0.353,0.0,0.667
19-2_5,0.0,1.0,0.333,0.282,0.0,0.333
19-2_6,0.0,1.0,0.333,0.387,0.0,0.667
19-2_7,0.0,1.0,0.667,0.632,0.333,1.0
19-2_8,0.0,1.0,0.667,0.533,0.333,1.0
19-2_9,0.0,1.0,0.333,0.425,0.0,0.667
19-2_10,0.0,1.0,0.0,0.185,0.0,0.333
19-2_11,0.0,1.0,0.333,0.302,0.0,0.667
19-2_12,0.0,1.0,0.0,0.186,0.0,0.333
____小時,1.0,24.0,4.0,4.849,2.0,6.0
____分鐘,0.0,50.0,10.0,14.254,0.0,30.0
21-1,0.0,1.0,0.182,0.187,0.0,0.273
21-2,0.0,1.0,0.0,0.125,0.0,0.182
21-3,0.0,1.0,0.182,0.311,0.091,0.455
21-4,0.0,1.0,0.273,0.357,0.182,0.455
21-5,0.0,1.0,0.182,0.263,0.091,0.364
21-6,0.0,1.0,0.182,0.27,0.091,0.364
____小時.1,1.0,24.0,7.0,8.23,4.0,11.0
____分鐘.1,0.0,50.0,0.0,12.753,0.0,30.0
____小時.2,1.0,24.0,2.0,3.157,1.0,3.0
____分鐘.2,0.0,50.0,0.0,9.231,0.0,20.0
23-1,0.0,1.0,0.4,0.53,0.2,0.8
23-2,0.0,1.0,0.6,0.628,0.4,1.0
23-3,0.0,1.0,0.4,0.451,0.2,0.6
23-4,0.0,1.0,0.8,0.714,0.4,1.0
23-5,0.0,1.0,0.6,0.652,0.4,1.0
23-6,0.0,1.0,0.4,0.524,0.2,1.0
23-7,0.0,1.0,0.2,0.363,0.2,0.6
23-8,0.0,1.0,0.2,0.278,0.2,0.2
23-9,0.0,1.0,0.2,0.271,0.2,0.4
24-1,0.0,1.0,0.333,0.468,0.0,0.667
24-2,0.0,1.0,0.667,0.505,0.333,0.667
24-3,0.0,1.0,0.667,0.554,0.333,0.667
24-4,0.0,1.0,0.667,0.537,0.333,0.667
24-5,0.0,1.0,0.667,0.565,0.333,1.0
24-6,0.0,1.0,0.333,0.355,0.0,0.667
24-7,0.0,1.0,0.333,0.376,0.0,0.667
25-0,0.0,1.0,1.0,0.955,1.0,1.0
25-1,0.0,1.0,0.5,0.557,0.25,1.0
25-2,0.0,1.0,0.5,0.548,0.25,1.0
25-3,0.0,1.0,0.5,0.447,0.25,0.5
25-4,0.0,1.0,0.5,0.487,0.25,0.5
25-5,0.0,1.0,0.5,0.467,0.25,0.5
25-6,0.0,1.0,0.5,0.467,0.25,0.5
25-7,0.0,1.0,0.5,0.479,0.25,0.5
25-8,0.0,1.0,0.5,0.499,0.25,0.5
25-9,0.0,1.0,0.5,0.475,0.25,0.5
26-1,0.0,1.0,0.333,0.396,0.333,0.333
26-2,0.0,1.0,0.333,0.382,0.333,0.333
26-3,0.0,1.0,0.333,0.37,0.333,0.333
26-4,0.0,1.0,0.333,0.439,0.333,0.333
26-5,0.0,1.0,0.333,0.426,0.333,0.333
26-6,0.0,1.0,0.333,0.415,0.333,0.333
26-7,0.0,1.0,0.333,0.325,0.333,0.333
26-8,0.0,1.0,0.333,0.29,0.0,0.333
26-9,0.0,1.0,0.333,0.29,0.0,0.333
26-10,0.0,1.0,0.333,0.306,0.0,0.333
26-11,0.0,1.0,0.333,0.301,0.0,0.333
26-12,0.0,1.0,0.333,0.282,0.0,0.333
26-13,0.0,1.0,0.333,0.354,0.333,0.333
26-14,0.0,1.0,0.333,0.304,0.0,0.333
26-15,0.0,1.0,0.333,0.257,0.0,0.333
27-1,0.0,1.0,0.333,0.408,0.0,0.667
27-2,0.0,1.0,0.333,0.437,0.0,0.667
27-3,0.0,1.0,0.333,0.352,0.0,0.667
27-4,0.0,1.0,0.667,0.595,0.333,0.667
27-5,0.0,1.0,0.667,0.601,0.333,0.667
27-6,0.0,1.0,0.667,0.628,0.333,0.667
28-1,0.0,1.0,0.333,0.378,0.0,0.667
28-2,0.0,1.0,0.333,0.382,0.0,0.667
28-3,0.0,1.0,0.333,0.371,0.0,0.667
28-4,0.0,1.0,0.333,0.31,0.0,0.667
29-1,0.0,1.0,0.333,0.272,0.0,0.333
29-2,0.0,1.0,0.333,0.265,0.0,0.333
29-3,0.0,1.0,0.333,0.263,0.0,0.333
29-4,0.0,1.0,0.333,0.332,0.333,0.333
29-5,0.0,1.0,0.333,0.324,0.333,0.333
29-6,0.0,1.0,0.333,0.327,0.333,0.333
29-7,0.0,1.0,0.333,0.254,0.0,0.333
29-8,0.0,1.0,0.333,0.229,0.0,0.333
29-9,0.0,1.0,0.333,0.236,0.0,0.333
29-10,0.0,1.0,0.333,0.239,0.0,0.333
