欄位編號,題目標號,問卷題目
1,TIGPSID,TIGPSID
2,Q1,請問你的性別（生理性別）：
3,Q2,你覺得你比較認同自己的性別是？（請選擇一
4,Q3,請問你親生父母的婚姻狀態：
5,Q3_Other,其他
6,Q4_1,下列關於你家中生活的情形，你認為符不符合
7,Q4_2,下列關於你家中生活的情形，你認為符不符_A
8,Q4_3,下列關於你家中生活的情形，你認為符不符_B
9,Q4_4,下列關於你家中生活的情形，你認為符不符_C
10,Q4_5,下列關於你家中生活的情形，你認為符不符_D
11,Q4_6,下列關於你家中生活的情形，你認為符不符_E
12,Q5_1,過去一年，請問你家長和你相處情形如何？51
13,Q5_2,過去一年，請問你家長和你相處情形如何？52
14,Q5_3,過去一年，請問你家長和你相處情形如何？53
15,Q5_4,過去一年，請問你家長和你相處情形如何？54
16,Q5_5,過去一年，請問你家長和你相處情形如何？55
17,Q5_6,過去一年，請問你家長和你相處情形如何？56
18,Q5_7,過去一年，請問你家長和你相處情形如何？57
19,Q5_8,過去一年，請問你家長和你相處情形如何？58
20,Q5_9,過去一年，請問你家長和你相處情形如何？59
21,Q5_10,過去一年，請問你家長和你相處情形如何？510
22,Q6_1,下列有關你們班上的說法，你認為符不符合目
23,Q6_2,下列有關你們班上的說法，你認為符不符合_A
24,Q6_3,下列有關你們班上的說法，你認為符不符合_B
25,Q7,請問你的座號是？
26,Q8_1_1,
27,Q8_1_2,
28,Q8_1_3,
29,Q8_1_4,
30,Q8_1_5,
31,Q8_2_1,
32,Q8_2_2,
33,Q8_2_3,
34,Q8_2_4,
35,Q8_2_5,
36,Q8_3_1,
37,Q8_3_2,
38,Q8_3_3,
39,Q8_3_4,
40,Q8_3_5,
41,Q8_4_1,
42,Q8_4_2,
43,Q8_4_3,
44,Q8_4_4,
45,Q8_4_5,
46,Q9,你上學期的平均成績大約如何？
47,Q10,上九年級以來，你有沒有參加校外補習（包含
48,Q101_1,你補那幾科？【可複選】1數學
49,Q101_2,你補那幾科？【可複選】2英語
50,Q101_3,你補那幾科？【可複選】3理化
51,Q101_4,你補那幾科？【可複選】4國文
52,Q101_5,你補那幾科？【可複選】5社會（史、地、公
53,Q101_6,你補那幾科？【可複選】6資訊電腦
54,Q101_7,你補那幾科？【可複選】7地科
55,Q101_8,你補那幾科？【可複選】8其他
56,Q10_Other,其他_A
57,Q11_1,請問以下敘述是否符合對你家長的情形？111
58,Q11_2,請問以下敘述是否符合對你家長的情形？112
59,Q11_3,請問以下敘述是否符合對你家長的情形？113
60,Q11_4,請問以下敘述是否符合對你家長的情形？114
61,Q11_5,請問以下敘述是否符合對你家長的情形？115
62,Q11_6,請問以下敘述是否符合對你家長的情形？116
63,Q11_7,請問以下敘述是否符合對你家長的情形？117
64,Q11_8,請問以下敘述是否符合對你家長的情形？118
65,Q12_1,升上國九後，家裡有沒有因為你要升學而改變
66,Q12_2,升上國九後，家裡有沒有因為你要升學而改_A
67,Q12_3,升上國九後，家裡有沒有因為你要升學而改_B
68,Q12_4,升上國九後，家裡有沒有因為你要升學而改_C
69,Q12_5,升上國九後，家裡有沒有因為你要升學而改_D
70,Q12_6,升上國九後，家裡有沒有因為你要升學而改_E
71,Q12_7,升上國九後，家裡有沒有因為你要升學而改_F
72,Q12_8,升上國九後，家裡有沒有因為你要升學而改_G
73,Q12_9,升上國九後，家裡有沒有因為你要升學而改_H
74,Q12_10,升上國九後，家裡有沒有因為你要升學而改_I
75,Q13,你會因為將來的升學問題而感覺有壓力嗎？
76,Q14,你父母有沒有跟你討論過升學的事情？
77,Q141_1,你們討論過哪些相關事情？【可複選】1要唸
78,Q141_2,你們討論過哪些相關事情？【可複選】2要加
79,Q141_3,你們討論過哪些相關事情？【可複選】3如何
80,Q141_4,你們討論過哪些相關事情？【可複選】4要如
81,Q141_5,你們討論過哪些相關事情？【可複選】5如何
82,Q141_6,你們討論過哪些相關事情？【可複選】6有什
83,Q141_7,你們討論過哪些相關事情？【可複選】7其他
84,Q14_Other,其他_B
85,Q15,你的父母親希望你唸到什麼樣的程度？
86,Q16,以你目前的狀況，你認為自己最可能上哪一類
87,Q17,如果可以不受任何條件限制，你覺得你可以讀
88,Q17_Other,其他_C
89,Q18,就你目前的環境和能力，你覺得你可以讀到什
90,Q18_Other,其他_D
91,Q191,關於上網，請問你爸爸有沒有以下的情形？
92,Q1911,會規定你什麼時候可以上網，什麼時候不行
93,Q1912,會限制你上網時間的長短
94,Q1913,會和你一起聊網路上發生的趣聞或事件
95,Q1914,會陪你一起上網查資料或做作業
96,Q1915,會鼓勵你上網
97,Q1916,會和你討論使用網路的情形和心得
98,Q1917,擔心你上網會產生健康問題（如眼睛、體能
99,Q1918,擔心你課業成績會因為上網而有不好影響
100,Q1919,會問你在網上做什麼
101,Q19110,會查看你的網頁瀏覽記錄
102,Q19111,會因為你上網而責罵你
103,Q19112,會因為你在網路購物而和你起衝突
104,Q192,關於上網，請問你媽媽有沒有以下的情形？
105,Q1921,會規定你什麼時候可以上網，什麼時候不行
106,Q1922,會限制你上網時間的長短
107,Q1923,會和你一起聊網路上發生的趣聞或事件
108,Q1924,會陪你一起上網查資料或做作業
109,Q1925,會鼓勵你上網
110,Q1926,會和你討論使用網路的情形和心得
111,Q1927,擔心你上網會產生健康問題（如眼睛、體能
112,Q1928,擔心你課業成績會因為上網而有不好影響
113,Q1929,會問你在網上做什麼
114,Q19210,會查看你的網頁瀏覽記錄
115,Q19211,會因為你上網而責罵你
