2024的完整題目,2025的完整題目,2024的題目編號,2025的題目編號,status,題目分類
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (3)不讓某人加入活動、討論事情或不准別人跟某人說話、一起行動,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-3.不讓某人加入活動、討論事情或不准別人跟某人說話、一起行動。,v37_3,33-3,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (7)勒索或強要某人的東西,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-7.勒索或強要某人的東西。,v37_7,33-7,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (5)嘲笑某人他喜歡某個人,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-5.嘲笑某人他喜歡某個人。,v37_5,33-5,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (4)嘲笑某人的外貌或言行舉止,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-4.嘲笑某人的外貌或言行舉止。,v37_4,33-4,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (8)對某人肢體攻擊,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-8.對某人肢體攻擊。,v37_8,33-8,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (6)故意破壞某人的東西或故意藏起來,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-6.故意破壞某人的東西或故意藏起來。,v37_6,33-6,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (1)用髒話罵或威脅某人,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-1.用髒話罵或威脅某人。,v37_1,33-1,3,其他
上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (2)說某人的壞話,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-2.說某人的壞話。,v37_2,33-2,3,其他
上八年級以來，你曾在實際生活中(非網上)，對別人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕讓某個人加入討論或活動嗎？,32.上九年級以來，你曾在現實生活中(非網上)，對別人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕讓某個人加入討論或活動嗎？,v36,32,3,其他
上八年級以來，你曾在實際生活中(非網上)，被其他人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕加入討論或活動嗎？,30.上九年級以來，你曾在現實生活中(非網上)，被其他人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕加入討論或活動嗎？,v34,30,3,其他
上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (3)不讓我加入討論、活動或不准別人跟我說話、一起行動,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-3.不讓我加入討論、活動或不准別人跟我說話、一起行動。,v35_3,31-3,3,其他
上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (1)別人用髒話罵或威脅我,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-1.別人用髒話罵或威脅我。,v35_1,31-1,3,其他
上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (2)別人說我的壞話,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-2.別人說我的壞話。,v35_2,31-2,3,其他
上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (7)勒索或強要我的東西,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-7.勒索或強要我的東西。,v35_7,31-7,3,其他
