idx,ver11_col,ver00_col,deterministic,exact_ratio,raw_nonempty_n,clean_nonempty_n,raw_unique_nonempty,clean_unique_nonempty,mapped_raw_unique_nonempty,mapped_clean_unique_nonempty,collapsed_levels
1,1,1.請問你的性別（生理性別）：,True,0.0,6713,6713,2,2,2,2,0
2,2,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,True,0.0,6713,6713,3,3,3,3,0
3,3,3.請問你親生父母的婚姻狀態：,True,0.0,6713,0,10,0,0,0,0
4,Unnamed: 4,Unnamed: 4,True,1.0,32,32,31,31,31,31,0
5,4-1,4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量,True,0.0,6713,6713,3,3,3,3,0
6,4-2,4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光,True,0.0,6713,6713,3,3,3,3,0
7,4-3,4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加,True,0.0,6713,6713,3,3,3,3,0
8,4-4,4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友,True,0.0,6713,6713,3,3,3,3,0
9,4-5,4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰,True,0.0,6713,6713,3,3,3,3,0
10,4-6,4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人,True,0.0,6713,6713,3,3,3,3,0
11,5-1,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,True,0.0,6713,6713,4,4,4,4,0
12,5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,True,0.0,6713,6713,4,4,4,4,0
13,5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,True,0.0,6713,6713,4,4,4,4,0
14,5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,True,0.0,6713,6713,4,4,4,4,0
15,5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,True,0.0,6713,6713,4,4,4,4,0
16,5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,True,0.0,6713,6713,4,4,4,4,0
17,5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,True,0.0,6713,6713,4,4,4,4,0
