col_index,ver11_col,ver00_col,raw_value,clean_value
1,1,1.請問你的性別（生理性別）：,女,2.0
1,1,1.請問你的性別（生理性別）：,男,1.0
2,2,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,其他,0.0
2,2,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,女性,2.0
2,2,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,男性,1.0
3,3,3.請問你親生父母的婚姻狀態：,其他（請說明）,
3,3,3.請問你親生父母的婚姻狀態：,未婚，且分居,
3,3,3.請問你親生父母的婚姻狀態：,未婚，但同住一起,
3,3,3.請問你親生父母的婚姻狀態：,結婚，且同住一起,
3,3,3.請問你親生父母的婚姻狀態：,結婚，但分居,
3,3,3.請問你親生父母的婚姻狀態：,結婚，因工作分隔兩地,
3,3,3.請問你親生父母的婚姻狀態：,親生母親過世,
3,3,3.請問你親生父母的婚姻狀態：,親生父親過世,
3,3,3.請問你親生父母的婚姻狀態：,離婚，且分居,
3,3,3.請問你親生父母的婚姻狀態：,離婚，但同住一起,
4,Unnamed: 4,Unnamed: 4,,
4,Unnamed: 4,Unnamed: 4,.,.
4,Unnamed: 4,Unnamed: 4,一方過世,一方過世
4,Unnamed: 4,Unnamed: 4,不知,不知
4,Unnamed: 4,Unnamed: 4,不要知道比較好,不要知道比較好
4,Unnamed: 4,Unnamed: 4,乾你什麼事,乾你什麼事
4,Unnamed: 4,Unnamed: 4,其他,其他
4,Unnamed: 4,Unnamed: 4,同居 父母,同居 父母
4,Unnamed: 4,Unnamed: 4,單親,單親
4,Unnamed: 4,Unnamed: 4,快離婚 且分居,快離婚 且分居
4,Unnamed: 4,Unnamed: 4,我試試管嬰兒,我試試管嬰兒
4,Unnamed: 4,Unnamed: 4,我都不知道我爸爸是誰,我都不知道我爸爸是誰
4,Unnamed: 4,Unnamed: 4,未婚霸過世,未婚霸過世
4,Unnamed: 4,Unnamed: 4,未見過母親,未見過母親
4,Unnamed: 4,Unnamed: 4,母親過世 父親不知道,母親過世 父親不知道
4,Unnamed: 4,Unnamed: 4,母親重婚,母親重婚
4,Unnamed: 4,Unnamed: 4,沒結婚,沒結婚
4,Unnamed: 4,Unnamed: 4,"父母離婚,母親過世","父母離婚,母親過世"
4,Unnamed: 4,Unnamed: 4,父過世，母親分居,父過世，母親分居
4,Unnamed: 4,Unnamed: 4,爸媽離婚，媽媽過世,爸媽離婚，媽媽過世
4,Unnamed: 4,Unnamed: 4,結婚 爸爸在服刑,結婚 爸爸在服刑
4,Unnamed: 4,Unnamed: 4,結婚，父母同居但沒跟小孩住在一起,結婚，父母同居但沒跟小孩住在一起
