題號,完整題目名稱
No ID,TIGPS ID
1,1.請問你的性別（生理性別）：
2,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）
3,3.請問你親生父母的婚姻狀態：
No ID,Unnamed: 4
4-1,4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量
4-2,4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光
4-3,4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加
4-4,4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友
4-5,4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰
4-6,4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人
5-1,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。
5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。
5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。
5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。
5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。
5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。
5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。
5-8,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。
5-9,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。
5-10,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。
6-1,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手
6-2,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手
6-3,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴
7,7.請問你的座號是？
8-1,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？
No ID,( 2 )
No ID,( 3 )
No ID,( 4 )
No ID,( 5 )
8-2,8-2.在網路上，你不喜歡跟班上哪些同學互動？
No ID,( 2 ).1
No ID,( 3 ).1
No ID,( 4 ).1
No ID,( 5 ).1
8-3,8-3.在現實生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？
No ID,( 2 ).2
No ID,( 3 ).2
No ID,( 4 ).2
No ID,( 5 ).2
8-4,8-4.在現實生活(非網路)中，你不喜歡跟班上哪位同學互動？
No ID,( 2 ).3
No ID,( 3 ).3
No ID,( 4 ).3
No ID,( 5 ).3
9,9.你上學期的平均成績大約如何？
10,10.上九年級以來，你有沒有參加校外補習（包含家教與家教班）？
10-1,10-1.你補那幾科？【可複選】-(1)數學
10-1,10-1.你補那幾科？【可複選】-(2)英語
10-1,10-1.你補那幾科？【可複選】-(3)理化
10-1,10-1.你補那幾科？【可複選】-(4)國文
