欄位編號,題目標號,問卷題目
1,,TIGPSID
2,@1.,請問你的性別（生理性別）：
3,@2.,你覺得你比較認同自己的性別是？（請選擇一
4,@3.,請問你親生父母的婚姻狀態：
5,,其他
6,@4.,下列關於你家中生活的情形，你認為符不符合
7,@4.,下列關於你家中生活的情形，你認為符不符_A
8,@4.,下列關於你家中生活的情形，你認為符不符_B
9,@4.,下列關於你家中生活的情形，你認為符不符_C
10,@4.,下列關於你家中生活的情形，你認為符不符_D
11,@4.,下列關於你家中生活的情形，你認為符不符_E
12,@5.,過去一年，請問你家長和你相處情形如何？51
13,@5.,過去一年，請問你家長和你相處情形如何？52
14,@5.,過去一年，請問你家長和你相處情形如何？53
15,@5.,過去一年，請問你家長和你相處情形如何？54
16,@5.,過去一年，請問你家長和你相處情形如何？55
17,@5.,過去一年，請問你家長和你相處情形如何？56
18,@5.,過去一年，請問你家長和你相處情形如何？57
19,@5.,過去一年，請問你家長和你相處情形如何？58
20,@5.,過去一年，請問你家長和你相處情形如何？59
21,@5.,過去一年，請問你家長和你相處情形如何？510
22,@6.,下列有關你們班上的說法，你認為符不符合目
23,@6.,下列有關你們班上的說法，你認為符不符合_A
24,@6.,下列有關你們班上的說法，你認為符不符合_B
25,@7.,請問你的座號是？
26,@8_1_1,
27,@8_1_2,
28,@8_1_3,
29,@8_1_4,
30,@8_1_5,
31,@8_2_1,
32,@8_2_2,
33,@8_2_3,
34,@8_2_4,
35,@8_2_5,
36,@8_3_1,
37,@8_3_2,
38,@8_3_3,
39,@8_3_4,
40,@8_3_5,
41,@8_4_1,
42,@8_4_2,
43,@8_4_3,
44,@8_4_4,
45,@8_4_5,
46,@9.,你上學期的平均成績大約如何？
47,@10.,上九年級以來，你有沒有參加校外補習（包含
48,@101.,你補那幾科？【可複選】1數學
49,@101.,你補那幾科？【可複選】2英語
50,@101.,你補那幾科？【可複選】3理化
51,@101.,你補那幾科？【可複選】4國文
52,@101.,你補那幾科？【可複選】5社會（史、地、公
